area,place,type,language,date,score,sentence,key
중구,40계단 문화관광테마거리,문화,한국어,201806,3,상징적인 의미가 강한 곳 6.25 전쟁으로 부산에 많은 피난민이 모이고 40계단 주변에 많은 판자촌이 형성되면서 일종의 만남의 광장이 되었던 곳. 지금의 40계단은 이전의 40계단 옆에 지어진 곳으로 주변이 테마거리로 형성되어 있습니다.,15
중구,40계단 문화관광테마거리,문화,한국어,201806,3,상징적인 의미가 있는 곳이지만 볼거리는 그렇게 많지 않아 굳이 찾아올 정도인지는 모르겠습니다.,16
중구,40계단 문화관광테마거리,문화,한국어,201806,3,주변에 카페가 많고 백구당이라는 빵집이 있는 그 빵집은 추천해요.,17
중구,40계단 문화관광테마거리,문화,한국어,201804,2,문화관광테마거리가 아니라 카페거리입니다.,18
중구,40계단 문화관광테마거리,문화,한국어,201804,2,관광테마거리라고 부르지만 전혀 관광테마거리가 아닙니다.,19
중구,40계단 문화관광테마거리,문화,한국어,201804,2,거리엔 카페들과 남포동 방면으로 가는길에 있는 작은 식당들이 전부 입니다.,20
중구,40계단 문화관광테마거리,문화,한국어,201712,4,좋아요,21
중구,40계단 문화관광테마거리,문화,한국어,201712,4,동상들 너무 센스있고 작품성도 있어서 그것만 구경해도 금방 시간갑니다,22
중구,40계단 문화관광테마거리,문화,한국어,201712,4,근처에 카페도 좋은곳 많아요,23
중구,40계단 문화관광테마거리,문화,한국어,201712,4,계단 나름 보도블록도 꾸며놓고 군데군데 재미있는 동상도 배치해놓아서 그런대로 재미있게 다녀온 곳 40계단의 역사적 의미도 배우고 그런대로 무난했던 곳,24
중구,40계단 문화관광테마거리,문화,한국어,201710,3,개인 방문 영화속 배경이 되었다고 해서 들른 곳이지만 너무 한산하고 스산해서 조금 실망 스러웠습니다.,25
중구,40계단 문화관광테마거리,문화,한국어,201710,3,주말인데도 사람이 없더라고요,26
중구,40계단 문화관광테마거리,문화,한국어,201709,4,계단을 싫어하시는 분께는 비추 이 일대의 골목마다 부산의 현대사를 느낄 수 있습니다.,27
중구,40계단 문화관광테마거리,문화,한국어,201709,4,다만 산비탈에 있는 관계로 계단이 40계단만 있는 것이 아닙니다.,28
중구,40계단 문화관광테마거리,문화,한국어,201709,4,꼭대기까지 걸어가시려는 분께,29
중구,40계단 문화관광테마거리,문화,한국어,201709,4,특히 등산 싫어하시는 분께는 비추합니다.,30
중구,40계단 문화관광테마거리,문화,한국어,201707,3,피난시절의 정취를 느낄수 있는 부산 역사길 40계단 중간에 아코디언 켜고 있는 아저씨 동상이 운치있어요,31
중구,40계단 문화관광테마거리,문화,한국어,201707,3,계단 주위에 이것 저것 볼거리도 제법 있구요,32
중구,40계단 문화관광테마거리,문화,한국어,201707,3,부산중구청 주최로 매주 수요일 바자회도 열리네요,33
중구,40계단 문화관광테마거리,문화,한국어,201711,3,부산의역사 역사체험장소로 많은 관광객이 요즘들어 오는것같더라구요.,34
중구,40계단 문화관광테마거리,문화,한국어,201711,3,주변에 카페도많고 산책하기가좋네요.,35
중구,40계단 문화관광테마거리,문화,한국어,201711,3,40계단에서 남포동까지걸어가셔도 좋을듯합니다.,36
중구,40계단 문화관광테마거리,문화,한국어,201708,5,테마의거리 성수기가 아니어서인지 사람들이 별로 없었습니다.,37
중구,40계단 문화관광테마거리,문화,한국어,201708,5,이뿐 카페들이 많이 있어요.,38
중구,40계단 문화관광테마거리,문화,한국어,201708,5,그런데 빙수 파는 곳이 없더라구요.,39
중구,40계단 문화관광테마거리,문화,한국어,201708,5,길에 이뿐 동상들도 있습니다.,40
중구,40계단 문화관광테마거리,문화,한국어,201705,4,옛 모습을 생각해보게하는 거리 지금은 40계단을 중심으로 많은 카페가 들어서서 걸어다니다가 커피 한 잔 하며 쉬기 좋은 공간입니다.,41
중구,40계단 문화관광테마거리,문화,한국어,201705,4,작은 골목이 많은 중앙동 구석구석은 부산의 원도심 모습을 간직한 곳이 많아 걸어다니기 좋구요,42
중구,40계단 문화관광테마거리,문화,한국어,201705,4,40계단이 있는 중앙동 뿐만 아니라 용두산공원,43
중구,40계단 문화관광테마거리,문화,한국어,201705,4,남포동,44
중구,40계단 문화관광테마거리,문화,한국어,201705,4,국제시장,45
중구,40계단 문화관광테마거리,문화,한국어,201705,4,보수동 책방골목까지 원도심 전체를 걸어보시길 추천합니다.,46
중구,40계단 문화관광테마거리,문화,한국어,201703,4,딱히 볼거리는 없어요.,47
중구,40계단 문화관광테마거리,문화,한국어,201703,4,남포동 나오는 길에 한번쯤 들러보면 좋을 듯해요.,48
중구,40계단 문화관광테마거리,문화,한국어,201703,4,회사가 근처라 그런지..감흥은 없네요.,49
중구,40계단 문화관광테마거리,문화,한국어,201703,4,관광객들은 많이들 오시는거 같아요.,50
중구,40계단 문화관광테마거리,문화,한국어,201606,3,근대 부산 발전의 이야기! 한국전쟁으로 피난을 내려온 사람들이 부산역 일대의 철도지역에 정주한 것은 근래의 부산의 역사의 시작과 같은 의미를 지니고 있다.,51
중구,40계단 문화관광테마거리,문화,한국어,201606,3,이 때 많은 피난민들이 판자촌을 이룬 곳이 일제 강점기에 만들어진 40계단 일대. 그 시대를 반영하듯 이곳을 2004년 관광 테마 거리로 재편하여 1950~60년대의 생활 모습을 재현한 시설물들을 배치하고 있다.,52
중구,40계단 문화관광테마거리,문화,한국어,201606,3,크고 넓은 지역은 아니지만 도시의 역사체험으로 둘러보기에는 좋은 곳.,53
중구,40계단 문화관광테마거리,문화,한국어,201608,3,40계단 부산역에서 슬슬 걸어 국제시장에 가는길. 가로수와 나즈막한 건물들 사이로 옛스런 정취가 느껴지는 거리이다.,54
중구,40계단 문화관광테마거리,문화,한국어,201608,3,찾아가기 보단 스처지나갈때 더 기억에 남을거 같은 거리다.,55
중구,40계단 문화관광테마거리,문화,한국어,201604,3,한번은 가볼만 합니다.,56
중구,40계단 문화관광테마거리,문화,한국어,201604,3,근현대사 역사체험 테마로 다니기엔 좋은 코스입니다.,57
중구,40계단 문화관광테마거리,문화,한국어,201604,3,근처에 요즘은 맛집과 카페도 많이 생겼습니다.,58
중구,40계단 문화관광테마거리,문화,한국어,201604,3,기념사진 찍기에도 괜찮아요.,59
중구,40계단 문화관광테마거리,문화,한국어,201505,3,과거와 현재가 공존하는 곳 부산은 과거와 현재가 공존하는 곳이 많다.,60
중구,40계단 문화관광테마거리,문화,한국어,201505,3,이곳도 역시 그런곳. 한국전쟁에 대한 스토리를 알게된다면 더 애틋하다.,61
중구,40계단 문화관광테마거리,문화,한국어,201505,3,영화촬영장소로도 유명하다.,62
중구,40계단 문화관광테마거리,문화,한국어,201501,4,동네 답사 광복동에서 부산역 방향으로 걷다 보면 나옵니다.,63
중구,40계단 문화관광테마거리,문화,한국어,201501,4,오랜 역사의 이야기가 있는 동네 이므로 구석구석 탐방하듯이 다니기를 권합니다.,64
중구,40계단 문화관광테마거리,문화,한국어,201501,4,허름했던 동네 길이 예쁘게 변신한 모습이 재밌습니다.,65
중구,40계단 문화관광테마거리,문화,한국어,201511,3,한적한 곳 역사적으로 의미가 있는 곳이라,66
중구,40계단 문화관광테마거리,문화,한국어,201511,3,관광지라는 느낌은 들지 않음.,67
중구,40계단 문화관광테마거리,문화,한국어,201511,3,근처에 갈 일이 없다면 일부러 찾아갈 필요는 없음.,68
중구,40계단 문화관광테마거리,문화,한국어,201411,4,사진 찍기에 좋은 곳 그렇게 크지 않습니다.,69
중구,40계단 문화관광테마거리,문화,한국어,201411,4,그냥 기념 사진을 찍기에 좋네요.,70
중구,40계단 문화관광테마거리,문화,한국어,201411,4,주변에 식당도 많습니다.,71
중구,40계단 문화관광테마거리,문화,한국어,201411,4,소소한 볼거리는 됩니다.,72
중구,40계단 문화관광테마거리,문화,한국어,201507,3,부산의 명관광지는 아닙니다.,73
중구,40계단 문화관광테마거리,문화,한국어,201507,3,인위적으로 테마거리를 조성해 놓은거라 관광지는 아닙니다.,74
중구,40계단 문화관광테마거리,문화,한국어,201507,3,여러가지 조형물들이 있고 가볍게 들릴기에는 좋은 장소 입니다.,75
중구,40계단 문화관광테마거리,문화,한국어,201506,4,부산의 과거를 알수있어요.,76
중구,40계단 문화관광테마거리,문화,한국어,201506,4,아이들과 같이 걸으면서 부산의 옛이야기를 들려주면서 아주 재밌는 시간이 되었습니다.,77
중구,40계단 문화관광테마거리,문화,한국어,201506,4,구도심을 찾으신다면 한번 들러볼만 합니다.,78
중구,40계단 문화관광테마거리,문화,한국어,201510,4,엄청난 볼거리는 아니지만 소소한 볼거리가 있는 곳 이 곳은 엄청나고 멋진 볼거리가 있는 곳은 아니지만 예전의 모습을 잘 지켜 일본 느낌도 나고,79
중구,40계단 문화관광테마거리,문화,한국어,201510,4,이지역만의 특별한 분위기가 있어서 종종 걸어다니면서 구경하기에 좋은 곳이랍니다.,80
중구,40계단 문화관광테마거리,문화,한국어,201510,4,골목마다 숨은 맛집들이 있어서 그곳들을 찾는것도 재미있고,81
중구,40계단 문화관광테마거리,문화,한국어,201510,4,선술집도 꽤 있는 편이에요.,82
중구,40계단 문화관광테마거리,문화,한국어,201510,4,오히려 남포동의 화려한 맛집들보다 맛있답니다.,83
중구,40계단 문화관광테마거리,문화,한국어,201503,5,일본 느낌이 물씬 나는 중앙동 일제강점기 시대의 느낌이 물씬 나는 동네죠.,84
중구,40계단 문화관광테마거리,문화,한국어,201503,5,각 블럭마다 설치된 계단들을 걸어올라보며 구한말 조선의 발전과 안타까움이 혼재되어 여러 생각을 하게 만들더군요.,85
중구,40계단 문화관광테마거리,문화,한국어,201410,3,부산의 새로운 명소 하지만 무언가 빠진 듯한 곳 지방 도시들이 자체적으로 도시를 정화하고 관광을 위한 시설을 만들어가면서,86
중구,40계단 문화관광테마거리,문화,한국어,201410,3,많은 새로운 것들이 도시 여기저기에 만들어졌다.,87
중구,40계단 문화관광테마거리,문화,한국어,201410,3,40계단은 본래 부산의 내부에 존재했던 것인데,88
중구,40계단 문화관광테마거리,문화,한국어,201410,3,그것을 활용하여 문화관광테마거리를 리모델링 한 것이다.,89
중구,40계단 문화관광테마거리,문화,한국어,201410,3,물론 이렇게 만들어진 지역은 나름대로의 목적을 지니고 있고,90
중구,40계단 문화관광테마거리,문화,한국어,201410,3,분명 테마로 채워질 것이다. 하지만 인공적인 느낌이 강하고 억지가 느껴져서 과거의 것이 그대로 남아 있는 것만 못하다는 생각을 할 때가 있다.,91
중구,40계단 문화관광테마거리,문화,한국어,201410,3,시간이 많이 남으면 방문할 것을 권한다.,92
중구,40계단 문화관광테마거리,문화,한국어,201412,4,이동 동선을 고려해서 여행하면 좋은곳 부산 광복동,93
중구,40계단 문화관광테마거리,문화,한국어,201412,4,중앙동,94
중구,40계단 문화관광테마거리,문화,한국어,201412,4,그리고 부산역와 연계하여 들리기 좋은 곳이다.,95
중구,40계단 문화관광테마거리,문화,한국어,201412,4,부산역에서 그렇게 멀지 않은 거리로 걸어서 이동도 가능하다.,96
중구,40계단 문화관광테마거리,문화,한국어,201412,4,테마 거리 주변으로 광복동까지도 걸어서 이동 가능한 거리로 동선을 잘 고려해서 여행 리스트에 추가하면 좋을듯 하다,97
중구,40계단 문화관광테마거리,문화,한국어,201508,5,부산의 역사를 느낄 수 있는거리 사실 여긴 볼 게 없지만,98
중구,40계단 문화관광테마거리,문화,한국어,201508,5,먼저 40계단 안내소?,99
중구,40계단 문화관광테마거리,문화,한국어,201508,5,가시고 40계단의 유래를 살펴본 뒤,100
중구,40계단 문화관광테마거리,문화,한국어,201508,5,40계단을 내려가면 정말 감회가 남다,101
중구,40계단 문화관광테마거리,문화,한국어,201508,5,릅니다.,102
중구,40계단 문화관광테마거리,문화,한국어,201508,5,또한,103
중구,40계단 문화관광테마거리,문화,한국어,201508,5,근처에 백구당빵집이 있는데 부산3대 빵집 중 하나라고 하더군요. (옵스비앤씨백구당)빵 중 크로이즌을 꼭 드셔보시길 추천해요!,104
중구,40계단 문화관광테마거리,문화,한국어,201508,5,맛있어요ㅎㅎㅎ,105
해운대구,APEC나루공원,경관,한국어,202011,2,볼수록 아까운 곳 정치적인 무슨 큰 성과가 있었는지 미지수인채 혈세만 낭비한 전시형 건물이 놀고 있는걸 보는 건 정말 괴로운 일이다.,106
해운대구,APEC나루공원,경관,한국어,202011,2,활용 방안을 내놓길.,107
해운대구,APEC나루공원,경관,한국어,202001,4,산책로 잘되있음,108
해운대구,APEC나루공원,경관,한국어,202001,4,누리마루 공원 산책로가 참 잘되어있고 한바퀴 둘러보면 1km정도 되는듯 산책로 옆으로 절벽으로 산책로가 조성되어있는데 분위기있고 사진찍기 좋게 잘 되어있는듯 이 주변으로 apec 정상회담열린장소등이 있으니 참고,109
해운대구,APEC나루공원,경관,한국어,201908,4,누리마루가 있는 공원 에이펙 정상회의가 열린 부산 누리마루 근처의 공원입니다.,110
해운대구,APEC나루공원,경관,한국어,201908,4,동백섬에 있고 경치가 좋아서 정상회의 열린 곳 중에서는 아마 지금까지 이렇게 유명한 곳은 없을 듯.,111
해운대구,APEC나루공원,경관,한국어,201907,5,센텀시티 인근의 멋진 공원 2005년 부산에서 개최된 APEC 정상회의를 기념하기 위해서 만들어진 공원입니다.,112
해운대구,APEC나루공원,경관,한국어,201907,5,수영강변을 따라 자전거 도로와 조깅코스가 조성되어 있으며 야외무대도 설치되어 있어 소규모 공연도 할 수 있습니다.,113
해운대구,APEC나루공원,경관,한국어,201907,5,잘 조성된 잔디와 조경수 사이에 세계 유명작가들의 조각작품들도 전시되어 있으며 곳곳에 벤치가 있어 조용히 독서도 할 수 있고 친구들과 담소도 나눌 수 있습니다.,114
해운대구,APEC나루공원,경관,한국어,201907,5,영화의 전당을 방문할 기회가 있으면 바로 앞에 공원이 있으니 한 번 찾아보세요.,115
해운대구,APEC나루공원,경관,한국어,201901,3,동백섬 따라 걸으면서 잠깐 방문해볼만한 곳 바다를 내려다볼 수 있는 전망과 각도 자체가 괜찮아서 이 부근까지 걸어가볼 만함 오랜 시간 머무를 필요는 없고 바람 피하고 화장실 들렸다 나오면 됨,116
해운대구,APEC나루공원,경관,한국어,201902,5,역사와 경치가 공존하는 곳입니다.,117
해운대구,APEC나루공원,경관,한국어,201902,5,APEC나루공원은 부산에 방문하면 꼭 들르는 곳입니다.,118
해운대구,APEC나루공원,경관,한국어,201902,5,동백꽃이 피었을 때 방문한 것은 처음이었는데,119
해운대구,APEC나루공원,경관,한국어,201902,5,올라가는 길에 핀 동백꽃이 정말 아름다웠습니다.,120
해운대구,APEC나루공원,경관,한국어,201902,5,우리나라의 역사가 담긴 곳이라 볼거리가 많은 것도 좋지만,121
해운대구,APEC나루공원,경관,한국어,201902,5,사실 경치가 정말 좋아서,122
해운대구,APEC나루공원,경관,한국어,201902,5,부산에 처음 방문한 친구를 데리고 갔더니 너무 좋아하더군요.,123
해운대구,APEC나루공원,경관,한국어,201902,5,외국인 친구를 데려가기에도,124
해운대구,APEC나루공원,경관,한국어,201902,5,한국인 친구를 데려가기에도 정말 좋습니다.,125
해운대구,APEC나루공원,경관,한국어,201902,5,다만 근처에 더베이를 제외하고는 마땅한 음식점이 없어서 식사시간을 피해서 방문하시는 게 좋겠습니다,126
해운대구,APEC나루공원,경관,한국어,201902,5,:-),127
해운대구,APEC나루공원,경관,한국어,201807,4,센터시티에 있는 나루공원 저는 그냥 친구와 여행하면서 들렸지만 가고보니 어린 아기를 동반한 가족단위 나들이객이 엄청 많았습니다.,128
해운대구,APEC나루공원,경관,한국어,201807,4,깨끗하고 풍경도 시원했어요,129
해운대구,APEC나루공원,경관,한국어,201902,5,동백섬 산책로와 이어진 곳 동백섬 산책로를 따라 걷다 보면 여기가 나옵니다.,130
해운대구,APEC나루공원,경관,한국어,201902,5,산책로의 다른 조망대처럼 바다가 내다보이는데,131
해운대구,APEC나루공원,경관,한국어,201902,5,거기에 더해 APEC 정상회담에 대한 간략한 전시도 볼 수 있습니다.,132
해운대구,APEC나루공원,경관,한국어,201902,5,딱히 특별한 건 없지만 어차피 입장료 없고 둘러보는 데 시간도 오래 안 걸리니 한번 들를 만합니다.,133
해운대구,APEC나루공원,경관,한국어,201806,5,APEC 기념 공원,134
해운대구,APEC나루공원,경관,한국어,201806,5,한 번 슥 둘러보고 나올만한 곳 시간이 없으시다면 과감히 건너 뛰어도 될 것 같은 공간인데,135
해운대구,APEC나루공원,경관,한국어,201806,5,깔끔하게 잘 꾸며놓았습니다.,136
해운대구,APEC나루공원,경관,한국어,201806,5,한 여름 낮시간에는 그늘을 피해서 쉴 수 있는 공간이 아주 잘 조성된건 아니라 비추하고 싶습니다,137
해운대구,APEC나루공원,경관,한국어,201806,5,만,138
해운대구,APEC나루공원,경관,한국어,201806,5,꽤 조용하고 깔끔해서 저녁쯤에는 선선한 바닷바람 쐬러 걸어볼만 합니다.,139
해운대구,APEC나루공원,경관,한국어,201711,4,가볼만해요~,140
해운대구,APEC나루공원,경관,한국어,201711,4,해운대에 갔다가 들려볼만 합니다~~,141
해운대구,APEC나루공원,경관,한국어,201711,4,북적이는 해운대에 있다가 여기에 가니 사람도 많지 않고 한적하게 걷다오기 좋았습니다~,142
해운대구,APEC나루공원,경관,한국어,201802,4,동백섬 안에 동백섬 안에 있어서 섬 둘러보면서 구경하기 좋아요,143
해운대구,APEC나루공원,경관,한국어,201802,4,나름 의미있는 장소이니까요 학생들도 좋아할 것 같아요,144
해운대구,APEC나루공원,경관,한국어,201712,4,멋졌습니다,145
해운대구,APEC나루공원,경관,한국어,201712,4,마침 해지는 시간에 방문하게 되었는데 붉은 노을과 바닷가와 apec건물의 모습들이 너무 멋지게 어울려서 좋은 풍경을 보고 왔네요.,146
해운대구,APEC나루공원,경관,한국어,201712,5,동백섬과 함께 동백섬에 있고 해운대 옆이고 더베이도 있고 위치상 한번 들리는 것도 나쁘지 안습니다,147
해운대구,APEC나루공원,경관,한국어,201712,5,뷰도 엄청 좋고 산책하기 좋습니다,148
해운대구,APEC나루공원,경관,한국어,201709,4,해운대 왔으면 한번쯤은 와보세요,149
해운대구,APEC나루공원,경관,한국어,201709,4,한번쯤은 둘러볼만합니다. 해운대 오셨으면 시간내서 한번 가보는것도 나쁘지 않을꺼에요.,150
해운대구,APEC나루공원,경관,한국어,201709,4,저도 가봤는데 괜찮았습니다.,151
해운대구,APEC나루공원,경관,한국어,201710,4,해운대에 가면 들러볼만함 해운대 갔다가 동백섬해안로를 따라 걷다보니 나온 공원. 특별히 찾아갈 곳은 아니고 주변에 들를 일이 있다면 잠시 보고 가는 것도 괜찮을 듯합니다.,152
해운대구,APEC나루공원,경관,한국어,201707,4,Apec정상회담 보다 멋진 뷰 뷰가 멋지다.,153
해운대구,APEC나루공원,경관,한국어,201707,4,맑은날 오륙도와 광안리가 다 한눈에 보이고. 바람도 솔솔 부니 벤치 자리 맡으시면 좋아요,154
해운대구,APEC나루공원,경관,한국어,201702,5,포켓몬의 성지 포켓스톱이 효과적으로 모여 있는곳 하자만 포캣몬은 별로.... 레어하지 못함,155
해운대구,APEC나루공원,경관,한국어,201702,5,포켓볼을 모으려면 단연코 여기가 최고,156
해운대구,APEC나루공원,경관,한국어,201701,5,풍경이 멋져요 바다가 코앞이라 풍경이 아주 끝내줍니다!!,157
해운대구,APEC나루공원,경관,한국어,201701,5,걸어가도 되고 산책하다가 들렸는데 탁트인 풍경이 아주 좋더라구요^^,158
해운대구,APEC나루공원,경관,한국어,201607,5,최적의 위치 이 아름다운 곳을 조성한 고 노무현 대통령을 먼저 떠올리게 되는 곳입니다.,159
해운대구,APEC나루공원,경관,한국어,201607,5,가슴이 저려오는 순간에 너무나 아름다운 정경을 보며 여러가지 의미로 감동받은 곳입니다.,160
해운대구,APEC나루공원,경관,한국어,201607,4,아름다운 건물과 바다 건물 자체도 아름답지만 위치한 터도 꽤 졸은 곳이다.,161
해운대구,APEC나루공원,경관,한국어,201607,4,건물 안에 들가면 실제 회의 장소도 볼 수 있고 나와서는 바다를 접할 수 있다.,162
해운대구,APEC나루공원,경관,한국어,201607,4,해질 때 이 곳의 주차장에서 구경하는 모습이 아름답다.,163
해운대구,APEC나루공원,경관,한국어,201510,4,APEC 나루공원 해운대 근처에 있는 APEC 나루공원 조성된 공원답게 깨끗하고 잘되어 있었어요,164
해운대구,APEC나루공원,경관,한국어,201510,4,부산 센텀시티의 랜드마크 공원이라구 하더라구요,165
해운대구,APEC나루공원,경관,한국어,201510,4,커피 한잔들고 거닐기 좋았어요,166
해운대구,APEC나루공원,경관,한국어,201508,5,동백섬에 위치한 나루공원 APEC정상회의를 위해 만든 공원 노무현 전대통령의 사진을 볼 수 있는데 볼 때마다 가슴이 뭉클하네요,167
해운대구,APEC나루공원,경관,한국어,201508,4,조성이 잘 되어있습니다.,168
해운대구,APEC나루공원,경관,한국어,201508,4,공원에서 바라보는 광안대교가 멋집니다.,169
해운대구,APEC나루공원,경관,한국어,201508,4,공원도 조성을 잘해놓았는데요..,170
해운대구,APEC나루공원,경관,한국어,201508,4,잔디와 나무가 많아 여름에 갔다가 모기에게 많이 당했습니다 ㅠ.,171
해운대구,APEC나루공원,경관,한국어,201605,5,날씨 좋은날 산책하기 정말 좋은 곳 큰 행사가 열렸던 곳인 만큼 주변 정리가 정말 잘 되어있고 뷰가 환상적이었습니다.,172
해운대구,APEC나루공원,경관,한국어,201605,5,부산에서 보았던 바다 중 가장 기억에 남습니다.,173
해운대구,APEC나루공원,경관,한국어,201605,5,잠시 제주도 생각도 나더군요.,174
해운대구,APEC나루공원,경관,한국어,201605,5,다시 찾고 싶은 곳입니다.,175
해운대구,APEC나루공원,경관,한국어,201604,4,바다보며 걷기 좋은 공원 펼쳐진 바다를 보며 걷기 좋은 공원 APEC 정상회단을 위해 조성해둔 공원이라 과하지않고 깔끔하게 잘 꾸며져있음.,176
해운대구,APEC나루공원,경관,한국어,201604,4,가볍게 러닝도 좋고 산책도 좋은곳,177
해운대구,APEC나루공원,경관,한국어,201602,4,가는 건 멀지만 가는 길이 멀어서 은근히 체력을 요하는 장소. 그래도 막상 가고 나면 잘 갔다는 느낌이 든다.,178
해운대구,APEC나루공원,경관,한국어,201509,5,사진이 예술로 나와요 APEC하우스를 바라보면 저 멀리 광안대교도 눈에 보이거든요,179
해운대구,APEC나루공원,경관,한국어,201509,5,그 상태에서 사진 찍으면 엄청 멋있게 나와요!!,180
해운대구,APEC나루공원,경관,한국어,201509,5,나루공원도 너무 잘 되어 있어서 산책하기 좋더라구요,181
해운대구,APEC나루공원,경관,한국어,201504,4,아침 조깅하기 정말 좋은 공원 평지에 만들어진 공원이라서 이른 새벽 조깅하기에 정말 좋은 공원입니다.,182
해운대구,APEC나루공원,경관,한국어,201504,4,센텀시티에 있으며 신세계백화점과는 길 하나만 건너면 있어서 쇼핑전후에 산책하기에 좋습니다.,183
해운대구,APEC나루공원,경관,한국어,201504,4,화장실도 크게 잘 관리되어 있어요.,184
해운대구,APEC나루공원,경관,한국어,201504,4,공원 부지가 꽤나 넓은데 그래서 더욱 여유로운 느낌이 있습니다.,185
해운대구,APEC나루공원,경관,한국어,201504,4,수영강변을 끼고 있어서 시각적으로 더 기분전환하기 좋지요.,186
해운대구,APEC나루공원,경관,한국어,201504,4,수영강이 그리 깨끗하지는 않다는것이 단점.,187
해운대구,APEC나루공원,경관,한국어,201602,4,부산에서 젤 멋진곳중 하나입니다. 해운대에 위치한 나루공원. 실내도 멋지지만,188
해운대구,APEC나루공원,경관,한국어,201602,4,주위경관이 너무 멋져서 외지인들에게 참 인기가 많은곳입니다.,189
해운대구,APEC나루공원,경관,한국어,201602,4,아이들도 참 좋아합니다.,190
해운대구,APEC나루공원,경관,한국어,201602,5,2005 APEC을 기념해 조성된 공원 누리마루와 같은 멋진 건축물과 동백섬 다른 지점과 달리 바다를 아주 가까이 볼 수 있는 곳입니다.,191
해운대구,APEC나루공원,경관,한국어,201602,5,공원도 산책하고,192
해운대구,APEC나루공원,경관,한국어,201602,5,누리마루 안도 같이 보면 좋습니다.,193
해운대구,APEC나루공원,경관,한국어,201602,5,사진찍기에는 아주 좋은 장소입니다.,194
해운대구,APEC나루공원,경관,한국어,201602,5,산책코스로도 좋습니다.,195
해운대구,APEC나루공원,경관,한국어,201506,5,수영강변에 너무 잘 꾸며진 공간... 지역주민들에게는 보석같은 공간들이다.,196
해운대구,APEC나루공원,경관,한국어,201506,5,수영강변의 넓은 부지에 잘 조성된 산책공간이다.,197
해운대구,APEC나루공원,경관,한국어,201506,5,여름이면 빛을 발하는 공간이다.,198
해운대구,APEC나루공원,경관,한국어,201507,4,갈맷길 . 저는 해운대 부터 걸어서 2-3시간 코스로 갔고 초여름이지만 바람이 매우 많이 불었어요 .,199
해운대구,APEC나루공원,경관,한국어,201507,4,에이펙회담열렸던 곳부터 아래 산책로 까지 해안가 주변으로 걸으면서 배경이 너무 아름답습니다.,200
해운대구,APEC나루공원,경관,한국어,201503,4,산책하기 좋습니다.,201
해운대구,APEC나루공원,경관,한국어,201503,4,산책길이 너무 잘 되어있어서 산책하기 좋아요 :-) 또 가고싶네요.,202
해운대구,APEC나루공원,경관,한국어,201503,4,그땐 남자친구와 함께 ㅠ,203
