category,word,pol
7,바로/MAG_버스/NNG_정류장/NNG,1
7,정류장/NNG_바로/MAG_인접/NNG,1
7,명소/NNG_지하철/NNG_연결/NNG,1
7,지하철/NNG_갈아타/VV_심플/NNP,1
7,지하철/NNG_이동/NNG_가능/NNG,1
7,대중교통/NNG_이용/NNG_힘들/VA,1
7,대중교통/NNG_이용/NNG_편하/VA,1
7,대중교통/NNG_이용/NNG_힘들/VA,-1
7,대중교통/NNG_다니/VV_편리/NNG,1
7,지하철/NNG_시간표/NNG_맞추/VV,1
7,중심지/NNG_생각/NNG_멀리/MAG,-1
8,주차/NNG_징수/NNG_아쉬움/NNG,-1
8,주차장/NNG_비교/NNG_여유/NNG,1
8,주차장/NNG_해변/NNG_편리/NNG,1
9,인근/NNG_매점/NNG_편의점/NNG,1
9,도심/NNG_휴식처/NNG_세계/NNG,1
9,공원/NNG_시민/NNG_휴식처/NNG,1
9,관광객/NNG_편의/NNG_시설/NNG,1
9,방문/NNG_최고/NNG_휴식처/NNG,1
9,유아/NNG_휴게실/NNG_운영/NNG,1
10,화장실/NNG_관리/NNG_개판/NNG,-1
10,지나치/VA_상업/NNG_화장실/NNG,-1
10,상업/NNG_화장실/NNG_냄새나/VV,-1
12,안전/NNG_손잡이/NNG_설치/NNG,1
14,분위기/NNG_장난/NNG_아니/VCN,1
14,가족/NNG_나들이/NNG_적격/NNG,1
14,부모/NNG_데이트/NNG_코스/NNG,1
14,산책로/NNG_벤치/NNG_마련/NNG,1
14,조경수/NNP_배치/NNG_산책/NNG,1
14,가족/NNG_나들이/NNG_추천/NNG,1
0,살거리/NNG_먹거리/NNG_있/VA,1
0,쇼핑/NNG_먹거리/NNG_굿/NNG,1
0,고급/NNG_물건/NNG_아니/VCN,-1
0,상점/NNG_마을/NNG_곳곳/NNG,1
0,아쉽/VA_시내/NNG_면세점/NNG,-1
0,백화점/NNG_안/NNG_다양/NNG,1
1,카페/NNG_분위기/NNG_괜찮/VA,1
1,커피숍/NNG_분위기/NNG_좋/VA,1
1,맛/NNG_부산/NNP_대명사/NNG,1
1,해산물/NNG_마련/NNG_신선/XR,1
1,해산물/NNG_맛보/VV_만족/NNG,1
1,부산/NNP_명물/NNG_씨앗/NNG,1
1,좋/VA_길거리/NNG_음식점/NNG,1
1,푸드/NNG_코드/NNG_만족/NNG,1
1,호떡/NNG_기대/NNG_이하/NNG,-1
1,맛/NNG_서비스/NNG_안습/NNG,-1
1,먹거리/NNG_기대/NNG_안/MAG,-1
1,맛있/VA_길거리/NNG_음식/NNG,1
1,음식/NNG_미각/NNG_자극/NNG,1
2,많/VA_돼지국밥/NNP_맛집/NNG,1
2,맛집/NNG_카페/NNG_거리/NNG,1
2,많/VA_예전/NNG_레스토랑/NNG,1
2,수많/VA_노점/NNG_음식점/NNG,1
2,포장마차/NNG_가게/NNG_많/VA,1
2,다양/XR_길거리/NNG_음식/NNG,1
2,식당/NNG_종류/NNG_늘어나/VV,1
2,다양/NNG_풍부/XR_먹거리/NNG,1
2,다양/XR_메뉴/NNG_먹거리/NNG,1
2,다양/NNG_맛있/VA_음식점/NNG,1
2,다양/XR_종류/NNG_음식점/NNG,1
2,먹거리/NNG_술집/NNG_다양/XR,1
2,푸드/NNG_코트/NNG_다양/NNG,1
2,먹거리/NNG_포차/NNG_즐비/XR,1
2,음식점/NNG_쇼핑몰/NNG_많/VA,1
2,다양/XR_상점/NNG_먹거리/NNG,1
2,식당/NNG_카페/NNG_가득/MAG,1
2,레스토랑/NNG_카페/NNG_있/VA,1
2,먹거리/NNG_술집/NNG_즐비/XR,1
2,길거리/NNG_음식/NNG_즐기/VV,1
2,분식/NNG_거리/NNG_가득/MAG,1
2,안주/NNG_거리/NNG_별로/MAG,-1
2,음식점/NNG_줄줄이/MAG_있/VV,1
2,먹거리/NNG_메리트/NNG_없/VA,-1
2,음식점/NNG_많이/MAG_생기/VV,1
2,군데군데/NNG_카페/NNG_있/VA,1
2,음식/NNG_종류/NNG_다양/NNG,1
2,까페/NNG_많이/MAG_오픈/NNG,1
2,해산물/NNG_다채/XR_판매/NNG,1
2,여러/MM_길거리/NNG_음식/NNG,1
2,먹을만/NNG_곳/NNG_별로/MAG,-1
3,좋/VA_지하상가/NNG_가격/NNG,1
3,좋/VA_성수기/NNG_숙박비/NNG,1
3,가격/NNG_대비/NNG_만족/NNG,1
3,가성비/NNG_대비/NNG_굿/NNG,1
3,할인/NNG_카드/NNG_적용/NNG,1
4,가격/NNG_합리/NNG_음식/NNG,1
4,먹거리/NNG_가격/NNG_저렴/XR,1
4,가격/NNG_불만/NNG_음식/NNG,-1
4,무료/NNG_요즘/NNG_커피/NNG,1
4,식음료/NNG_가격/NNG_비싸/VA,-1
4,합리/NNG_가격/NNG_식당/NNG,1
4,음식점/NNG_여전/NNG_비싸/VA,-1
4,먹/VV_때/NNG_바가지요금/NNG,-1
4,음식점/NNG_거리/NNG_저렴/XR,1
4,중국집/NNG_가격/NNG_비싸/VA,-1
4,생선/NNG_정가/NNG_판매/NNG,1
4,렴/NNG_길거리/NNG_음식/NNG,1
5,소품/NNG_가격/NNG_만만찮/VA,-1
6,안내/NNG_여자/NNG_별로/MAG,-1
6,지나치/VA_친절/NNG_부담/NNG,-1
6,직원/NNG_일반/NNG_친절/NNG,1
6,직원/NNG_유쾌/NNG_친절/NNG,1
6,가게/NNG_사람/NNG_친절/NNG,1
7,부산역/NNP_가까이/MAG_있/VV,1
7,남포/NNG_시장/NNG_가까워/VV,1
7,다리/NNG_시간/NNG_단축/NNG,1
7,대중교통/NNG_가/VV_멉니다/VA,-1
7,대중교통/NNG_가/VV_불편/NNG,-1
7,대중교통/NNG_이동/NNG_쉽/VA,1
7,도로/NNG_이용/NNG_추천/NNG,1
7,도시/NNG_연결/NNG_전철/NNG,1
7,많/VA_시티투어/NNP_버스/NNG,1
7,명소/NNG_지하철역/NNG_있/VV,1
7,방문/NNG_위치/NNG_유리/NNG,1
7,버스/NNG_운행/NNG_편리/NNG,1
7,버스/NNG_이동/NNG_가능/NNG,1
7,버스/NNG_이용/NNG_추천/NNG,1
7,부산/NNP_각지/NNG_연결/NNG,1
7,불편/NNG_택시/NNG_이용/NNG,-1
7,시내/NNG_근처/NNG_위치/NNG,1
7,운행/NNG_이용/NNG_편리/NNG,1
7,위치/NNG_교통/NNG_요지/NNG,1
7,접근/NNG_거리/NNG_멉니다/VA,-1
7,접근/NNG_위치/NNG_편리/NNG,1
7,접근성/NNG_면/NNG_떨어지/VV,-1
7,좋/VA_공항버스/NNG_이용/NNG,1
7,지하철/NNG_역과/NNG_가깝/VA,1
7,지하철/NNG_잘/MAG_연계/NNG,1
7,지하철/NNG_접근/NNG_용이/XR,1
7,힘들/VA_마땅/XR_대중교통/NNG,-1
7,지하철/NNG_시간표/NNG_좋/VA,1
7,도로/NNG_정비/NNG_편리/NNG,1
7,노선/NNG_확충/NNG_필요/NNG,-1
7,운전/NNG_완전/NNG_조심/NNG,-1
7,도보/NNG_이동/NNG_가능/NNG,1
7,시장/NNG_길/NNG_건너편/NNG,1
7,고속도로/NNP_타/VV_바로/MAG,1
7,로터리/NNG_생각/NNG_복잡/XR,-1
7,이동/NNG_시간/NNG_소요/NNG,-1
7,지하철/NNG_이용/NNG_저렴/XR,1
7,지하철역/NNG_바로/MAG_가/VV,1
7,지하철/NNG_내리/VV_바로/MAG,1
7,근처/NNG_센텀/NNP_시티/NNG,1
7,시내/NNG_멀리/MAG_떨어지/VV,-1
7,남포동/NNP_바로/MAG_옆/NNG,1
7,자가용/NNG_방문/NNG_삼가/VV,-1
7,해운대/NNG_비교/NNG_가깝/VA,1
7,용두산/NNP_공원/NNG_가깝/VA,1
7,지하철역/NNG_걷/VV_금방/MAG,1
7,부산역/NNP_바로/MAG_옆/NNG,1
7,마을버스/NNG_있/VA_편리/NNG,1
7,마을버스/NNG_이용/NNG_좋/VA,1
7,지하철/NNG_개통/NNG_편하/VA,1
7,지하철/NNG_잘/MAG_구비/NNG,1
7,차량/NNG_통행/NNG_불편/NNG,-1
7,환승/NNG_이용/NNG_편안/NNG,1
7,대중교통/NNG_이용/NNG_쉽/VA,1
7,쉽/VA_대중교통/NNG_이용/NNG,1
7,대중교통/NNG_이용/NNG_멀/VA,-1
7,위치/NNG_멀리/MAG_떨어지/VV,-1
7,지하철/NNG_어디든/NNG_가/VV,1
7,지하철/NNG_나오/VV_금방/MAG,1
7,불편/NNG_열차/NNG_이동/NNG,-1
7,부산/NNP_곳곳/NNG_연결/NNG,1
7,잘/MAG_이루/VV_대중교통/NNG,1
7,대중교통/NNG_이용/NNG_걷/VV,-1
7,앞/NNG_내리/VV_대중교통/NNG,1
7,부산역/NNG_바로/MAG_옆/NNG,1
8,불편/NNG_주위/NNG_주차/NNG,-1
8,주차/NNG_스트레스/NNG_적/VA,1
8,주차/NNG_평일/NNG_여유/NNG,1
8,주차/NNG_공간/NNG_모자라/VV,-1
8,주차/NNG_공간/NNG_부족/NNG,-1
8,주차/NNG_시설/NNG_부족/NNG,-1
8,주차/NNG_시설/NNG_모자라/VV,-1
8,주차장/NNG_극/NNG_부족/NNG,-1
8,주차장/NNG_금액/NNG_저렴/XR,1
8,앞/NNG_노상/NNG_주차장/NNG,1
8,주차/NNG_시간/NNG_소요/NNG,-1
8,무료/NNG_주차/NNG_가능/NNG,1
9,있/VA_어린이/NNG_놀이터/NNG,1
9,클라이너/NNP_의자/NNG_있/VA,1
9,최고/NNG_휴식/NNG_공간/NNG,1
9,편리/NNG_휴식/NNG_공간/NNG,1
9,휴식/NNG_공간/NNG_조성/NNG,1
9,문화/NNG_휴식/NNG_공간/NNG,1
9,편의/NNG_시설/NNG_이용/NNG,1
9,주위/NNG_다양/NNG_시설/NNG,1
9,놀이/NNG_공간/NNG_휴식/NNG,1
9,편의/NNG_시설/NNG_인접/NNG,1
9,편의/NNG_시설/NNG_편리/NNG,1
9,놀이/NNG_시설/NNG_다양/NNG,1
9,도심/NNG_속/NNG_휴양지/NNG,1
9,주변/NNG_편의/NNG_시설/NNG,1
9,각종/NNG_편의/NNG_시설/NNG,1
9,여유/NNG_편의/NNG_시설/NNG,1
9,놀이터/NNG_음식점/NNG_없/VA,-1
9,편의/NNG_시설/NNG_부족/NNG,-1
10,화장실/NNG_거리/NNG_깔끔/XR,1
10,화장실/NNG_시설/NNG_깨끗/XR,1
12,안전/NNG_제일주의/NNG_없/VA,-1
13,추천/NNG_장소/NNG_아니/VCN,-1
13,추천/NNG_정도/NNG_아니/VCN,-1
13,광안/NNG_대교/NNG_필수/NNG,1
13,필수/NNG_관광/NNG_코스/NNG,1
14,가족/NNG_나들이/NNG_적당/XR,1
14,가족/NNG_물놀이/NNG_적합/XR,1
14,뭉클/XR_가족/NNG_나들이/NNG,1
14,최고/NNG_가족/NNG_휴가/NNG,1
14,가족/NNG_모임/NNG_가능/NNG,1
14,아이/NNG_물놀이/NNG_적합/XR,1
14,추억/NNG_여행/NNG_가족/NNG,1
14,경험/NNG_보장/NNG_다양/NNG,1
14,추억/NNG_여행/NNG_코스/NNG,1
14,산책/NNG_코스/NNG_벤치/NNG,1
14,가족/NNG_방문/NNG_추천/NNG,1
14,산책/NNG_강력/NNG_추천/NNG,1
14,금지/NNG_불편/NNG_가족/NNG,-1
0,좋/VA_입점/NNG_브랜드/NNG,1
0,다양/XR_생활/NNG_용품/NNG,1
0,중고/NNG_거래/NNG_다양/XR,1
0,어렵/VA_주변/NNG_상가/NNG,-1
0,좋/VA_빈티지/NNG_쇼핑/NNG,1
0,좋/VA_백화점/NNG_쇼핑/NNG,1
0,시장/NNG_관광지/NNG_좋/VA,1
0,아기자기/XR_골목/NNG_많/VA,1
0,다양/XR_시설/NNG_매장/NNG,1
0,없/VA_메이커/NNG_가게/NNG,-1
0,실속/NNG_없/VA_쇼핑몰/NNG,-1
0,상품/NNG_개발/NNG_절실/XR,-1
0,지하상가/NNG_넓/VA_다양/XR,1
0,노점상/NNG_많/VA_정신없/VV,-1
0,면세품/NNG_사/VV_추천/NNG,1
0,쇼핑몰/NNG_맛집/NNG_많/VA,1
0,쇼핑/NNG_돌아다니/VV_좋/VA,1
0,쇼핑/NNG_기다리/VV_지루/XR,-1
0,좋/VA_대부분/NNG_가게/NNG,1
0,많/VA_대부분/NNG_가게/NNG,1
0,쇼핑/NNG_먹거리/NNG_많/VA,1
1,좋/VA_음식점/NNG_카페/NNG,1
1,커피/NNG_맛/NNG_꿀맛/NNG,1
1,맛있/VA_음식/NNG_커피/NNG,1
1,좋/VA_근처/NNG_음식점/NNG,1
1,좋/VA_동네/NNG_막걸리/NNG,1
1,기대/NNG_정도/NNG_맛/NNG,1
1,생선/NNG_구이/NNG_짱/NNG,1
1,막걸리/NNG_먹/VV_최고/NNG,1
1,추천/NNG_각종/NNG_맛/NNG,1
1,좋/VA_주변/NNG_음식점/NNG,1
1,맛/NNG_자체/NNG_특별/NNG,1
1,빵/NNG_크로/NNP_추천/NNG,1
1,맛/NNG_전통/NNG_자랑/NNG,1
1,실패/NNG_안/MAG_곱창/NNG,1
1,배/NNG_마음/NNG_만족/NNG,1
1,음식/NNG_실패/NNG_안/MAG,1
1,파전/NNG_막걸리/NNG_좋/VA,1
1,음식/NNG_그저/MAG_그런/MM,-1
1,음식/NNG_재미/NNG_느끼/VV,1
2,가게/NNG_이상/NNG_즐비/XR,1
2,음식점/NNG_상가/NNG_많/VA,1
2,수산물/NNG_가게/NNG_많/VA,1
2,많/VA_해안/NNG_음식점/NNG,1
2,즐비/XR_많/VA_돼지국밥/NNP,1
2,먹거리/NNG_흥/NNP_넘치/VV,1
2,음식점/NNG_거리/NNG_많/VA,1
2,각종/NNG_건어물/NNG_있/VV,1
2,장어구이/NNG_집/NNG_많/VA,1
2,먹거리/NNG_놀이/NNG_있/VV,1
2,먹거리/NNG_호텔/NNG_많/VA,1
2,다양/XR_중국/NNP_음식/NNG,1
2,식사/NNG_해결/NNG_괜찮/VA,1
2,먹거리/NNG_쇼핑/NNG_많/VA,1
2,먹거리/NNG_곳곳/NNG_팔/VV,1
2,먹거리/NNG_구경/NNG_잘/MA,1
2,다양/XR_종류/NNG_카페/NNG,1
2,군것질/NNG_많이/MAG_팔/VV,1
2,먹거리/NNG_많이/MAG_있/VA,1
2,식당/NNG_주점/NNG_몰리/VV,1
2,음식점/NNG_많이/MAG_있/VA,1
2,유명/XR_푸드/NNG_들어오/VV,1
2,분식/NNG_볼거리/NNG_많/VA,1
2,식품관/NNG_많/VA_매장/NNG,1
2,커피숍/NNG_많이/MAG_있/VA,1
2,까페/NNG_많이/MAG_생기/VV,1
2,음식점/NNG_많이/MAG_없/VA,-1
2,길거리/NNG_음식/NNG_많/VA,1
2,카페/NNG_많이/MAG_생기/VV,1
2,길거리/NNG_음식/NNG_많/VA,1
3,풍부/XR_가격/NNG_구입/NNG,1
3,가격/NNG_초반/NNG_오르/VV,-1
3,가격/NNG_면/NNG_만점/NNG,1
3,좋/VA_이벤트/NNG_가격/NNG,1
3,가격/NNG_깡패/NNG_안/MAG,1
3,가격/NNG_양/NNG_창렬/NNP,-1
4,맥주/NNG_가격/NNG_비싸/VA,-1
4,커피숍/NNG_즐비/XR_저렴/XR,1
4,음식/NNG_가격/NNG_비싸/VA,-1
4,비싸/VA_아침/NNG_조식/NNG,-1
4,주류/NNG_가격/NNG_저렴/XR,1
4,좋/VA_식음료/NNG_가격/NNG,1
4,구이/NNG_괜찮/VA_가격/NNG,1
4,농수산물/NNG_값/NNG_싸/VA,1
4,식당/NNG_가격/NNG_비싸/VA,-1
4,비싸/VA_동네/NNG_횟집/NNG,-1
4,저렴/XR_각종/NNG_음식/NNG,1
4,저렴/XR_기대/NNG_음식/NNG,1
4,비싸/VA_외부/NNG_음식/NNG,-1
4,음식/NNG_가격/NNG_비싸/VA,-1
4,맛/NNG_가격/NNG_별로/MAG,-1
4,카페/NNG_가격/NNG_비싸/VA,-1
5,저렴/XR_양질/NNG_물건/NNG,1
5,가격/NNG_괜찮/VA_상품/NNG,1
5,물건/NNG_비교/NNG_저렴/XR,1
6,딜러/NNG_붙임성/NNG_없/VA,-1
6,상인/NNG_정신/NNG_아쉽/VV,-1
6,서비스질/NNG_면/NNG_좋/VA,1
6,점원/NNG_붙임성/NNG_없/VA,-1
6,직원/NNG_정신/NNG_나가/VV,-1
6,직원/NNG_교육/NNG_안/MAG,-1
6,고객/NNG_응대/NNG_아쉽/VV,-1
7,영도/NNP_끝/NNG_위치/NNG,-1
7,교통/NNG_잘/MAG_연계/NNG,1
7,길/NNG_어마어마/XR_막히/VV,-1
7,노선/NNG_다양/NNG_곳/NNG,1
7,대중교통/NNG_가/VV_힘들/VA,-1
7,대중교통/NNG_잘/MAG_되/VV,1
7,대중교통/NNG_타/VV_수월/XR,1
7,대중교통/NNG_편하/VA_않/VX,-1
7,마을버스/NNG_타/VV_힘들/VA,-1
7,버스/NNG_앞/NNG_운행/NNG,1
7,버스/NNG_이용/NNG_적합/XR,1
7,버스/NNG_이용/NNG_편하/VA,1
7,버스/NNG_잘/MAG_연계/NNG,1
7,버스/NNG_접근/NNG_용이/XR,1
7,버스/NNG_정류장/NNG_멀/VA,-1
7,부산역/NNP_걸어가/VV_있/VV,1
7,비프/NNP_광장/NNG_가깝/VA,1
7,어렵/VA_택시/NNG_이용/NNG,-1
7,여행자/NNG_쉽/VA_들어가/VV,1
7,위치/NNG_중심가/NNG_있/VV,1
7,인접/NNG_방문/NNG_용이/XR,1
7,접근/NNG_면/NNG_뛰어나/VA,1
7,접근/NNG_제한/NNG_심하/VA,-1
7,정류장/NNG_코/NNG_앞/NNG,1
7,좋/VA_차/NNG_대중교통/NNG,1
7,지하철/NNG_뚫리/VV_편하/VA,1
7,편하/VA_교통/NNG_수단/NNG,1
7,해운대/NNG_거리/NNG_있/VA,1
7,이동/NNG_시간/NNG_빠르/VA,1
7,뚜벅이/NNP_여행/NNG_좋/VA,1
7,경전철/NNG_타/VV_김해/NNP,1
7,찾아가/VV_조금/NNG_힘들/VA,-1
7,중요/NNG_곳/NNG_연결/NNG,1
7,시장/NNG_이어지/VA_편하/VA,1
7,시장/NNG_바로/MAG_옆/NNG,1
7,바로/MAG_앞/NNG_센텀/NNP,1
7,관광객/NNG_가/VV_불편/NNG,-1
7,센텀/NNP_시티/NNG_가깝/VA,1
7,인접/NNG_곳/NNG_버스/NNG,1
7,접근/NNG_때/NNG_이용/NNG,1
7,지하철/NNG_이동/NNG_좋/VA,1
7,도로/NNG_정체/NNG_심하/VA,-1
7,경전철/NNG_생기/VV_편하/VA,1
7,교통/NNG_잘/MAG_연결/NNG,1
7,찾아가/VV_시간/NNG_걸리/VV,-1
7,환승/NNG_구간/NNG_잘/MAG,1
7,부산역/NNG_거리/NNG_있/VV,-1
7,해운대/NNG_거리/NNG_있/VV,-1
7,차/NNG_접근/NNG_불편/NNG,-1
7,해운대/NNG_좋/VA_위치/NNG,1
8,많/VA_공영주/NNP_차장/NNG,1
8,사람/NNG_많/VA_주차장/NNG,-1
8,어렵/VA_진입/NNG_통로/NNG,-1
8,주차/NNG_바가지/NNG_없/VA,1
8,주차공간/NNG_넉넉/XR_않/VX,-1
8,주차/NNG_공간/NNG_넉넉/XR,1
8,주차/NNG_공간/NNG_협소/XR,-1
8,주차시설/NNG_잘/MAG_되/VV,1
8,주차/NNG_시설/NNG_넉넉/XR,1
8,주차장/NNG_가득/MAG_차/VV,-1
8,주차장/NNG_구비/NNG_않/VX,-1
8,주차장/NNG_규모/NNG_작/VA,-1
8,주차장/NNG_지하/NNG_넓/VA,1
8,주차장/NNG_지하/NNG_있/VV,1
8,주차장/NNG_잘/MAG_갖추/VV,1
8,차장/NNG_금액/NNG_저렴/XR,1
8,공영주/NNP_차장/NNG_있/VV,1
8,주차/NNG_시설/NNG_잘/MAG,1
9,시원/XR_내부/NNG_편리/NNG,1
9,실내/NNG_놀이터/NNG_있/VA,1
9,편하/VA_편의/NNG_시설/NNG,1
9,휴식/NNG_공간/NNG_유명/XR,1
9,세련/XR_편의/NNG_시설/NNG,1
9,편의/NNG_시설/NNG_갖추/VV,1
9,도심/NNG_속/NNG_휴식/NNG,1
9,변변/XR_놀이/NNG_공간/NNG,0
9,쉼터/NNG_마련/NNG_마땅/XR,-1
9,너저분/XR_답답/XR_느낌/NNG,-1
10,화장실/NNG_시설/NNG_많/VA,1
10,화장실/NNG_곳곳/NNG_있/VV,1
10,화장실/NNG_사람/NNG_많/VA,-1
10,화장실/NNG_냄새/NNG_나/VV,-1
10,사람/NNG_많/VA_화장실/NNG,-1
11,문화/NNG_시설/NNG_갖추/VV,1
11,역사/NNG_의미/NNG_곳/NNG,1
13,방문/NNG_괜찮/VA_생각/NNG,1
13,코스/NNG_반드시/MAG_넣/VV,1
14,가족/NNG_나들이/NNG_좋/VA,1
14,데이트/NNG_장소/NNG_좋/VA,1
14,사진/NNG_포인트/NNG_많/VA,1
14,포인트/NNG_많/VA_사진/NNG,1
14,가족/NNG_단위/NNG_괜찮/VA,1
14,사진/NNG_뷰/NNP_감상/NNG,1
14,추억/NNG_남기/VV_가요/NNG,1
14,동반/NNG_가족/NNG_적합/XR,1
14,사진/NNG_남기/VV_추억/NNG,1
14,좋/VA_가족/NNG_나들이/NNG,1
14,가족/NNG_장소/NNG_괜찮/VA,1
14,데이트/NNG_좋/VA_위치/NNG,1
14,좋/VA_커플/NNG_데이트/NNG,1
14,이용/NNG_편하/VA_관광/NNG,1
14,좋/VA_바닷가/NNG_경치/NNG,1
14,이용/NNG_좋/VA_관광객/NNG,1
14,산책/NNG_적합/XR_코스/NNG,1
14,미술관/NNG_있/VV_다행/NNG,1
14,매니아/NNP_마음/NNG_들/VV,1
14,피로/NNG_날리/VV_가족/NNG,1
14,사람/NNG_걸음/NNG_멈추/VV,1
14,해양/NNG_산책로/NNG_있/VA,1
14,해안가/NNG_산책/NNG_있/VV,1
14,좋/VA_강아지/NNG_산책/NNG,1
14,산책/NNG_코스/NNG_적당/XR,1
14,산책/NNG_길/NNG_연못/NNG,1
14,산책/NNG_길/NNG_추천/NNG,1
14,연인/NNG_호젓/XR_시간/NNG,1
14,지나치/VA_곳/NNG_정도/NNG,-1
14,아이/NNG_돌기/NNG_힘들/VA,-1
0,쇼핑/NNG_맛집/NNG_많/VA,1
0,관광/NNG_좋/VA_시장/NNG,1
0,크기/NNG_크/VA_쇼핑/NNG,1
0,방문/NNG_재미/NNG_있/VV,1
